Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Channel Islands,CHI,GNI (current US$),NY.GNP.MKTP.CD,6243001967,6080322441,6482314149,7173877551,8288172830,8512727273,9205151794,10888355342,,,,,,,,,,,,
Chile,CHL,GNI (current US$),NY.GNP.MKTP.CD,75124613519,68631759083,67033029763,71042113847,91075840568,1.12323E+11,1.36011E+11,1.54242E+11,1.65659E+11,1.60627E+11,2.03115E+11,2.36993E+11,2.5452E+11,2.66321E+11,2.51487E+11,2.36674E+11,2.43547E+11,2.66381E+11,2.85996E+11,
China,CHN,GNI (current US$),NY.GNP.MKTP.CD,1.19668E+12,1.32022E+12,1.4556E+12,1.65007E+12,1.95022E+12,2.26986E+12,2.74699E+12,3.55838E+12,4.62287E+12,5.09317E+12,6.06109E+12,7.48112E+12,8.51241E+12,9.49258E+12,1.04518E+13,1.09738E+13,1.1093E+13,1.21338E+13,1.35569E+13,
Cote d'Ivoire,CIV,GNI (current US$),NY.GNP.MKTP.CD,9715070572,9911757704,10806672899,13017765217,14763108933,16432853988,17091275139,19535375620,23327069457,23342791967,23972203265,24393312491,25928144553,29853297926,34408347239,32124265893,34221106892,36521209783,41092406973,
Cameroon,CMR,GNI (current US$),NY.GNP.MKTP.CD,9490488176,9675489664,10906514676,14023258191,17028245538,17455351569,19103975208,21864913650,25997186753,25904236348,25879823790,29033837745,28659026752,31728766901,34653463123,30479494868,32063364385,34263095724,37856444404,
"Congo, Dem. Rep.",COD,GNI (current US$),NY.GNP.MKTP.CD,18699788397,7061817563,8430337555,8710928320,9989337556,11457022517,13982219064,16102883773,18458639375,17862577173,20654939478,24543304632,27710051938,29868627089,32869069198,35126776383,36345365361,36945659018,45549717038,
"Congo, Rep.",COG,GNI (current US$),NY.GNP.MKTP.CD,2275221127,1967707336,2173255469,2578201999,3161681849,4032288718,5105401247,5774289223,8768094080,6978832296,9024206656,10713458755,10541861539,11049892721,11738937937,8465696564,8378245023,7859167565,10067894539,
Colombia,COL,GNI (current US$),NY.GNP.MKTP.CD,97729902124,95787969671,95331633504,91408959392,1.13017E+11,1.41522E+11,1.56943E+11,1.99454E+11,2.33342E+11,2.25355E+11,2.75615E+11,3.20131E+11,3.5645E+11,3.68457E+11,3.69788E+11,2.89331E+11,2.79763E+11,3.0604E+11,3.19275E+11,
Comoros,COM,GNI (current US$),NY.GNP.MKTP.CD,350605432.4,378893802.3,423209663.3,544309317.1,630408571.6,651913151.4,696373093.6,796171712.8,910187359.9,900470690.5,906242596.5,1020963010,1014208442,1116123640,1149568602,969491018,1017498568,1080713350,1184771457,
Cabo Verde,CPV,GNI (current US$),NY.GNP.MKTP.CD,525174330.4,556963917.2,606246005.7,799436886.3,906125339.5,938320012.5,1062929629,1482535120,1742237159,1668453496,1591147122,1792779486,1667229960,1785866826,1767262554,1537742030,1603736778,1708795749,1930185521,
Costa Rica,CRI,GNI (current US$),NY.GNP.MKTP.CD,14261311764,15180184695,15743590602,16400081713,17741948915,19195028698,21940022723,26048030075,30018712454,29548314239,36059991803,40822529083,44992549183,47889274841,48430773854,52360979327,54676168526,55211618875,56814955286,
Caribbean small states,CSS,GNI (current US$),NY.GNP.MKTP.CD,32564499362,33468660897,35127342128,37497398359,41431391445,46576898308,52182984514,58466764088,66629346269,55877169816,60969703470,64087878461,67487222664,69445627703,69671185623,69684528192,65416169617,67425197464,69633869192,
Cuba,CUB,GNI (current US$),NY.GNP.MKTP.CD,29943300000,31179700000,32979826200,35340723500,37552770500,42010636100,52124800000,57644200000,59751100000,60437000000,62896000000,67926000000,72146000000,76226000000,79602100000,86014000000,90086000000,,,
Curacao,CUW,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,3025403520,3087688268,3093817318,3130920000,3152972235,3101673408,3138397821,,
Cayman Islands,CYM,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,3934218769,4044360134,2905095164,2646160106,2632477226,2793106413,2940243293,3084081324,,
Cyprus,CYP,GNI (current US$),NY.GNP.MKTP.CD,9128568332,9655802368,10831199038,13954369196,16345890000,17475010571,18960303601,22433135779,27388166105,25873166157,25365001989,28291559020,24805330849,23618497808,22509946858,19649583934,20055640912,21948565296,25847431507,
Czech Republic,CZE,GNI (current US$),NY.GNP.MKTP.CD,60521718853,65685711056,79072012853,96329469318,1.13683E+11,1.30131E+11,1.46046E+11,1.77137E+11,2.20424E+11,1.91649E+11,1.9216E+11,2.10686E+11,1.94526E+11,1.96904E+11,1.93821E+11,1.74243E+11,1.82444E+11,2.02642E+11,2.31566E+11,
Germany,DEU,GNI (current US$),NY.GNP.MKTP.CD,1.93221E+12,1.93045E+12,2.04668E+12,2.47077E+12,2.82616E+12,2.8693E+12,3.0428E+12,3.47091E+12,3.76544E+12,3.4744E+12,3.46448E+12,3.84029E+12,3.61198E+12,3.81918E+12,3.96174E+12,3.43702E+12,3.55214E+12,3.75032E+12,4.05803E+12,
