Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.93302424,8.34895451,10.99228151,7.823302684,6.008742032,7.287249205,6.999738348,18.36085395,4.799460566,6.748333764,11.94589599,7.982617054,5.118400862,2.119972769,5.776495541,6.642232227,8.127033384,4.651834826,3.027640595,
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.987695854,0.250573867,6.069530868,4.625894792,2.705821737,4.556645657,8.363871069,8.276763793,6.245437363,-7.652310203,8.563631748,6.048316367,4.456167213,11.34342425,4.149289893,-1.697965616,4.303737457,2.907531122,4.453584566,
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.48943244,4.464739026,3.616542192,-5.397485219,5.994884228,0.908210515,4.77108543,4.607534855,2.054130962,8.587260426,4.630818432,4.194615337,5.053761254,-36.3919771,0.081070515,4.33712103,4.750316841,4.527278213,3.789443593,
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.917762714,1.405527597,3.42214615,3.811090201,3.91402875,4.995860902,4.165817612,6.868608858,1.007622675,-2.928400179,3.089494641,3.146881364,1.762278244,2.330174773,2.868453971,0.689906522,1.107099385,2.978565954,1.896974756,
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.022310318,3.019918363,3.539093523,4.091783749,5.816693393,4.972913874,6.589856804,6.419462419,3.91383746,-3.45012363,1.59599612,3.230668304,0.761745531,1.259778578,3.041185839,3.908287794,3.050636943,4.79903515,4.305527225,
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.936932161,1.312269832,0.162613317,0.039569003,2.776296688,3.115201917,3.988722816,4.111767748,2.154744118,-2.222111937,3.002798245,1.69275218,1.006077812,1.852035453,2.449179525,1.333388501,1.722649108,1.799476694,2.750516981,
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.826641469,-1.51296126,-1.632206598,-3.202156942,0.224197396,1.377734157,4.882299364,5.898329661,,,,,,,,,,,,
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.326938419,3.303047313,3.106970532,4.091047685,7.209539709,5.742830489,6.317176343,4.905324504,3.529530553,-1.564239443,5.844177296,6.110918829,5.318628,4.045004298,1.766739784,2.303767036,1.670540173,1.279183341,4.024652965,
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.491508492,8.33991055,9.130645945,10.03560303,10.11122346,11.39577594,12.71947902,14.23138804,9.654289373,9.399813171,10.63614046,9.55091409,7.859627493,7.768615284,7.299518921,6.90531667,6.736675253,6.757007611,6.56697386,
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.068400057,0.121371915,-1.667642138,-1.359535943,1.23177284,1.721247367,1.515842364,1.765036784,2.542841476,3.251453719,2.017638592,-4.387254788,10.7065041,8.889421302,8.79407739,8.84285995,7.971751186,7.702089422,7.433071625,
