Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cuba,CUB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1.792828685,0.391389432,1.633713914,1.379121381,4.117117117,3.114995241,2.995720399,6.876323937,1.753316054,2.779442613,2.332531526,3.183987463,1.332320862,1.498739696,-0.47654205,-0.047207985,1.585588017,2.583687566,2.622207834
Cayman Islands,CYM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,0.276140862,1.325435758,1.188948452,2.160611468,1.273979115,-2.347527702,-0.625258359,,,
Cyprus,CYP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.141657647,1.973041917,2.801155052,4.139065387,2.286217068,2.560161323,2.30468733,2.372651837,4.669008419,0.326276652,2.430040841,3.289449396,2.3890541,-0.399357676,-1.354988854,-2.096997691,-1.429166667,0.531766496,1.435491195,0.250370997
Czech Republic,CZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.775388292,4.66267557,1.90298097,0.118739206,2.760107817,1.857097891,2.533992583,2.853124372,6.358663802,1.019377353,1.472727273,1.917219136,3.287623066,1.438297872,0.34398859,0.309364548,0.683504209,2.450533985,2.149494949,2.847875959
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.440268187,1.983856936,1.420805605,1.034227766,1.665733409,1.546909652,1.577428259,2.298341797,2.628381749,0.31273763,1.103809161,2.075174525,2.008490922,1.50472098,0.906797949,0.51442054,0.491748625,1.509496558,1.732167661,1.445667015
Djibouti,DJI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1.74665225,0.637619554,1.981967346,3.122262047,3.104966401,3.483406997,4.965976546,11.95862069,1.675495873,3.950078759,5.068713948,3.731209508,2.706032429,1.341864943,-0.847389734,2.738412087,0.568112117,0.14797085,3.319253727
Dominica,DMA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.856946805,1.303894035,0.17005533,1.453368004,2.394109821,1.681900799,2.202391326,3.632221293,6.359921833,0.006263571,2.999366305,1.131231365,1.356771478,-0.046411647,0.799250373,-0.843826985,0.141816226,0.296252889,0.989191119,
Denmark,DNK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.903282032,2.337870003,2.424436612,2.075078206,1.154356931,1.817814583,1.924221385,1.693265862,3.416267943,1.30470991,2.31092437,2.758682261,2.397914857,0.78907178,0.56402054,0.452034154,0.25,1.14713217,0.813609467,0.758131573
Dominican Republic,DOM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.724135662,8.883068488,5.223367698,27.44971274,51.46085983,4.190202605,7.572805239,6.143566552,10.6446211,1.442151318,6.329932201,8.459362886,3.694549458,4.830950967,2.998642261,0.836746347,1.614166072,3.279556947,3.56443426,1.81060377
